Opportunity Name,Opportunity Type,Stage,Created Date,EM Gross Planned Value Currency,EM Gross Planned Value (converted),Schedule Amount,Revenue Type,Programmatic Area,FR Purpose/Outcome,Emergency/HAC,Opportunity Lead Entity,Account/Donor Name,Gross Value in USD (Formula),Emergency/HAC Appeal,Recipient Entity,Beneficiary Country/Recipient Country,Beneficiary Region,Opportunity ID,Account ID,Opportunity Gross Value (converted) Currency,Opportunity Gross Value (converted),Account Category,Account Record Type,Account Level,Account Lead Entity,Lead Account's Region,Account Mailing Country,Lead NatCom/CO Acc. Category,Lead NatCom/CO ID,Lead Entity's UNICEF Region,Account: Created Date,Opportunity Lead Entity Name (Formula),Secondary donor,ISO Code,Business Area (CO/RO/PD),Donor,Type of donors,Funding Type ,Goals,Results,Regional Priority Areas,UNICEF Region,Year,Opportunity Type
Development Initiatives,Private,Secured/Won,6/8/2024,Dollor,81333.70247,94885.07218,Revenue Type,Transparency in information and official documents,Education,Emergency/HAC,,Natcom d,3409.055238,,,Egypt,,,,33736.19122,27050730,UN Agency/International Agency,Private Sector,,NETHERLANDS NATCOM,HQ,Serbia,,,NatCom,6/8/2024,TURKIYE NATCOM,Bureau for Humanitarian Assistance,EGY,Egypt,Natcom d,Bilateral,Other Resources Emergency,Child Protection,R1,Connecting,MENA,2024,Private
Development Initiatives,Private,Negotiating/Contracting,9/5/2024,Dollor,88439.96606,2844.447369,ORR Non-Thematic,Care and Treatment of Children affected by HIV and AIDS,Emergency Response,HAC-ARMENIA,,Natcom A,52714.22085,,,El Salvador,,,,19927.57483,9838443,IFI/RDB,Public Sector,,KOSOVO CO,ECARO,Qatar,,,ECARO,9/5/2024,SERBIA CO,African Development Bank (AfDB),SLV,El Salvador,Natcom A,EU,Other Resources Regular,Child Protection,R5,Protecting,LACRO,2022,Private
Global Thematic Programs,Private,Initial Meetings,4/21/2024,Dollor,36088.13071,23280.64392,Revenue Type,HIV – General,Emergency Response,Emergency/HAC,,Natcom d,46837.0638,,,Equatorial Guinea,,,,87549.64659,26149070,UN Agency/International Agency,Private Sector,,TURKIYE NATCOM,EAPRO,Denmark,,,ECARO,4/21/2024,LEBANON CO,Bureau for Humanitarian Assistance,GNQ,Equatorial Guinea,Natcom d,Bilateral,Other Resources Emergency,Health,R1,Thriving,SSA,2023,Private
Global Thematic Programs,Private,Initial Meetings,11/2/2024,Dollor,43262.22302,73772.88876,ORE-Thematic,"Policy, guidance and technical support for country programming and reporting",Health,HAC-UKRAINE,,EU ECHO,12046.52227,,,Eritrea,,,,91417.1725,28267667,Multi-Stakeholder Partnership,Private Sector,,UKRAINE CO,MENARO,Albania,,,NatCom,11/2/2024,BELARUS CO,European Investment Bank,ERI,Eritrea,EU ECHO,Private,Other Resources Emergency,Education,R3,Protecting,SSA,2024,Private
Global Thematic Programs,Private,Negotiating/Contracting,1/21/2024,Dollor,65160.72413,75241.94576,Revenue Type,Oversight and assurance,Education,HAC-ARMENIA,,EU ECHO,9230.76248,,,Estonia,,,,18031.95735,33543718,Corporate,Public Sector,,UK NATCOM,NatCom,Montenegro,,,ECARO,1/21/2024,ECARO,European Investment Bank,EST,Estonia,EU ECHO,Private,Other Resources Regular,Education,R1,Connecting,ECA,2022,Private
Emergency Response,Public,Secured/Won,11/19/2024,Dollor,86014.03409,69612.87023,ORE-Thematic,ACT-A/COVAX Pillar 4: RCCE,Emergency Response,HAC-UKRAINE,,G,5068.316139,,,Ethiopia,,,,63981.70611,27161891,Corporate Foundation,UNICEF NatCom/CO/Division,,MOLDOVA CO,ROSA,Croatia,,,HQ,11/19/2024,BULGARIA CO,Unilever,ETH,Ethiopia,G,Bilateral,Other Resources Regular,Child Protection,R5,Learning,SSA,2022,Private
Humanitarian Funding,Private,Secured/Won,6/18/2024,Dollor,87535.88625,79575.58872,ORE-Thematic,Community-based management of acute malnutrition,Advocacy,Emergency/HAC,,C,93049.2468,,,Fiji,,,,290.8891858,23931011,Corporate,Public Sector,,CHINA CO,HQ,Greece,,,NatCom,6/18/2024,MOLDOVA CO,African Development Bank (AfDB),FJI,Fiji,C,EU,Other Resources Emergency,Child Protection,R1,Learning,EAPRO,2023,Private
Advocacy and Policy Support,Public,Negotiating/Contracting,6/14/2024,Dollor,15929.84305,21706.13421,Revenue Type,Capital investments,Education,HAC-UKRAINE,,ECHO,48010.93191,,,Finland,,,,7461.409419,33900147,IFI/RDB,Public Sector,,TURKIYE NATCOM,HQ,Netherlands,,,ESARO,6/14/2024,UKRAINE CO,European Investment Bank,FIN,Finland,ECHO,EU,Other Resources Regular,WASH,R1,Including,ECA,2023,Private
Innovation and Research Grants,Public,Negotiating/Contracting,9/18/2024,Dollor,3100.453761,34887.59451,Revenue Type,Cross-sectoral Adolescent Development,Emergency Response,Ukraine Response,,Natcom d,75932.09707,,,France,,,,18715.7339,7166428,University/Education Org.,UNICEF NatCom/CO/Division,,UK NATCOM,ROSA,Albania,,,ESARO,9/18/2024,BULGARIA CO,Bureau for Humanitarian Assistance,FRA,France,Natcom d,Bilateral,Other Resources Emergency,SP,R2,Including,ECA,2023,Private
Emergency Response,Public,Initial Meetings,6/24/2024,Dollor,58573.90375,15313.38572,Revenue Type,Infant and Young child feeding,Child Protection,HAC-STATE OF PALESTINE,,Natcom d,82227.88658,,,Gabon,,,,57382.38713,5215409,IFI/RDB,Private Sector,,GEORGIA CO,HQ,France,,,ESARO,6/24/2024,KOSOVO CO,World Bank - Washington D.C.,GAB,Gabon,Natcom d,Private,Other Resources Emergency,ADAP,R4,Protecting,SSA,2023,Private
Partnership Funding,Private,Negotiating/Contracting,5/8/2024,Dollor,52052.15668,81650.48974,ORR Non-Thematic,Transparency in information and official documents,Advocacy,HAC-STATE OF PALESTINE,,Natcom c,96433.89483,,,Gambia,,,,98078.03147,1984721,Foundation,Public Sector,,TURKIYE CO,ROSA,Moldova,,,HQ,5/8/2024,CROATIA CO,African Development Bank (AfDB),GMB,Gambia,Natcom c,EU,Other Resources Emergency,Child Protection,R5,Thriving,SSA,2023,Private
Innovation and Research Grants,Public,Initial Meetings,6/20/2024,Dollor,5818.941969,5646.722213,ORE-Thematic,ACT-A/COVAX Pillar 2 - Therapeutics,Advocacy,Ukraine Response,,Natcom c,97458.24386,,,Georgia,,,,77102.72685,14118984,UN Agency/International Agency,Private Sector,,ROMANIA CO,HQ,Croatia,,,ECARO,6/20/2024,SOMALIA CO,African Development Bank (AfDB),GEO,Georgia,Natcom c,EU,Other Resources Regular,ADAP,R2,Learning,ECA,2022,Private
Country Programmes,Public,Initial Meetings,4/26/2024,Dollor,71316.97928,64968.73868,Revenue Type,Gender Equality General,Education,HAC-ARMENIA,,ECHO,5712.619026,,,Germany,,,,53432.76878,5267656,Membership based organizations,Private Sector,,SERBIA CO,ROSA,Serbia,,,NatCom,4/26/2024,SERBIA CO,European Investment Bank,DEU,Germany,ECHO,EU,Other Resources Regular,WASH,R1,Protecting,ECA,2022,Private
Development Initiatives,Private,Negotiating/Contracting,5/10/2024,Dollor,79056.28786,93525.16157,Revenue Type,Malaria,Child Protection,HAC-STATE OF PALESTINE,,ECHO,97748.81147,,,Ghana,,,,74646.97923,31112928,Multi-Stakeholder Partnership,Private Sector,,INDIA CO,MENARO,Tajikistan,,,NatCom,5/10/2024,ALBANIA CO,European Investment Bank,GHA,Ghana,ECHO,EU,Other Resources Emergency,Child Protection,R5,Thriving,SSA,2024,Private
Country Programmes,Public,Secured/Won,3/26/2024,Dollor,78401.05453,96427.07364,ORE-Thematic,Child Protection – strengthen families and communities,Increased Immunization Rates,HAC-ECARO,,ECHO,5959.736986,,,Greece,,,,72919.36736,21666462,Central Government,Corporate Account,,SERBIA CO,ROSA,Montenegro,,,ECARO,3/26/2024,TURKIYE CO,Unilever,GRC,Greece,ECHO,Bilateral,Other Resources Regular,CP,R5,Thriving,ECA,2022,Private
Development Initiatives,Private,Secured/Won,8/31/2024,Dollor,1860.131348,73781.5849,ORE-Thematic,Maternal and Newborn health,Education,Emergency/HAC,,Natcom d,27525.78915,,,Grenada,,,,59384.57809,36815599,Sport Associations,Private Sector,,PPD,ROSA,Armenia,,,NatCom,8/31/2024,ALBANIA CO,World Bank - Washington D.C.,GRD,Grenada,Natcom d,Private,Other Resources Emergency,WASH,R2,Connecting,LACRO,2023,Private
Innovation and Research Grants,Public,Initial Meetings,2/27/2024,Dollor,89888.86736,93907.95217,Revenue Type,Nutrition and emergencies,Child Protection,Emergency/HAC,,G,95548.61376,,,Guatemala,,,,68445.26854,19833247,Central Government,Private Sector,,UK NATCOM,MENARO,Denmark,,,HQ,2/27/2024,GEORGIA CO,African Development Bank (AfDB),GTM,Guatemala,G,EU,Other Resources Regular,Health,R3,Connecting,LACRO,2022,Private
Innovation and Research Grants,Public,Secured/Won,6/2/2024,Dollor,47175.88433,51317.13645,ORE-Thematic,Nutrition – General,Emergency Response,HAC-ECARO,,Natcom A,60783.12205,,,Guinea,,,,60190.16898,27814195,IFI/RDB,Private Sector,,ALBANIA CO,HQ,Qatar,,,ECARO,6/2/2024,TURKIYE NATCOM,World Bank - Washington D.C.,GIN,Guinea,Natcom A,Private,Other Resources Regular,WASH,R3,Including,SSA,2023,Private
Humanitarian Funding,Private,Negotiating/Contracting,11/14/2024,Dollor,43508.90352,45071.84389,ORR Non-Thematic,Oversight and assurance,Health,HAC-ECARO,,Natcom d,73100.65725,,,Guinea-Bissau,,,,90251.11033,6643872,Central Government,Private Sector,,KOSOVO CO,EAPRO,Uzbekistan,,,NatCom,11/14/2024,GREECE CO,African Development Bank (AfDB),GNB,Guinea-Bissau,Natcom d,EU,Other Resources Emergency,WASH,R5,Thriving,SSA,2024,Private
Innovation and Research Grants,Public,Negotiating/Contracting,8/18/2024,Dollor,97204.97468,34585.80677,ORE-Thematic,Private sector fundraising - Special Purpose,Emergency Response,Ukraine Response,,Natcom d,40273.75461,,,Guyana,,,,20620.53587,6305838,Corporate Foundation,Private Sector,,MOLDOVA CO,HQ,Cyprus,,,ESARO,8/18/2024,LEBANON CO,African Development Bank (AfDB),GUY,Guyana,Natcom d,EU,Other Resources Emergency,Education,R2,Thriving,LACRO,2022,Private
Country Programmes,Public,Secured/Won,8/28/2024,Dollor,77947.22427,61741.38397,ORE-Thematic,Social protection and child poverty,Education,HAC-ECARO,,Natcom c,98172.25443,,,Haiti,,,,34539.88743,12488626,Central Government,UNICEF NatCom/CO/Division,,MONTENEGRO CO,ECARO,Japan,,,ESARO,8/28/2024,TURKIYE NATCOM,African Development Bank (AfDB),HTI,Haiti,Natcom c,EU,Other Resources Regular,ADAP,R3,Thriving,LACRO,2023,Private
Advocacy and Policy Support,Public,Secured/Won,9/8/2024,Dollor,99735.02911,24044.06469,Revenue Type,Birth registration,Health,Emergency/HAC,,EU ECHO,68320.83219,,,Holy See,,,,46834.77401,16442675,UN Agency/International Agency,Private Sector,,BULGARIA CO,EAPRO,Tajikistan,,,ECARO,9/8/2024,BELARUS CO,Bureau for Humanitarian Assistance,VAT,Holy See,EU ECHO,Bilateral,Other Resources Regular,SP,R3,Protecting,ECA,2022,Private
Partnership Funding,Private,Initial Meetings,3/20/2024,Dollor,89960.84886,96318.27839,ORR Non-Thematic,Hygiene,Education,HAC-ARMENIA,,C,86685.63289,,,Honduras,,,,40156.57256,18086843,Country Office,Private Sector,,CROATIA CO,ECARO,Serbia,,,HQ,3/20/2024,TURKIYE NATCOM,The United Kingdom,HND,Honduras,C,Private,Other Resources Regular,Health,R1,Protecting,LACRO,2022,Private
Innovation and Research Grants,Public,Initial Meetings,2/14/2024,Dollor,82964.72087,465.024763,ORR Non-Thematic,Health and emergencies,Child Protection,Emergency/HAC,,G,15803.8274,,,Hungary,,,,41061.85745,8763289,IFI/RDB,Private Sector,,MONTENEGRO CO,EAPRO,Switzerland,,,ECARO,2/14/2024,CROATIA CO,African Development Bank (AfDB),HUN,Hungary,G,EU,Other Resources Emergency,SP,R3,Learning,ECA,2024,Private
Development Initiatives,Private,Negotiating/Contracting,6/18/2024,Dollor,14764.47559,65552.35205,Revenue Type,Birth registration,Emergency Response,HAC-STATE OF PALESTINE,,EU ECHO,5745.713691,,,Iceland,,,,28580.85507,426730,Ministry,Corporate Account,,PPD,WCARO,Switzerland,,,ESARO,6/18/2024,TURKIYE CO,European Investment Bank,ISL,Iceland,EU ECHO,Private,Other Resources Regular,Health,R3,Learning,ECA,2024,Private
Country Programmes,Public,Initial Meetings,6/2/2024,Dollor,97649.97568,65152.17191,ORR Non-Thematic,Private sector fundraising - Special Purpose,Emergency Response,HAC-ARMENIA,,G,65593.36927,,,India,,,,50769.81758,18834759,Account Category,UNICEF NatCom/CO/Division,,ALBANIA CO,MENARO,Qatar,,,NatCom,6/2/2024,CROATIA CO,The United Kingdom,IND,India,G,Private,Other Resources Regular,SP,R2,Learning,ROSA,2023,Private
Emergency Response,Public,Initial Meetings,8/20/2024,Dollor,62995.9368,6687.34804,Revenue Type,Child Protection – strengthen families and communities,Advocacy,HAC-ECARO,,EU ECHO,53469.92585,,,Indonesia,,,,41316.69349,7808400,Membership based organizations,Public Sector,,BELARUS CO,ROSA,Croatia,,,ESARO,8/20/2024,TURKIYE CO,Bureau for Humanitarian Assistance,IDN,Indonesia,EU ECHO,Bilateral,Other Resources Regular,CP,R5,Protecting,EAPRO,2023,Private
Partnership Funding,Private,Negotiating/Contracting,6/5/2024,Dollor,22960.21477,40433.94201,ORR Non-Thematic,Nutrition and emergencies,Health,HAC-STATE OF PALESTINE,,C,41547.42987,,,Iran (Islamic Republic of),,,,67866.07256,10800154,Governmental Organization,Private Sector,,KOSOVO CO,EAPRO,Denmark,,,NatCom,6/5/2024,TURKIYE CO,Unilever,IRN,Iran (Islamic Republic of),C,Bilateral,Other Resources Emergency,Health,R5,Connecting,MENA,2023,Private
Development Initiatives,Private,Initial Meetings,6/16/2024,Dollor,79907.82923,41992.91983,ORE-Thematic,Human resources management,Emergency Response,Ukraine Response,,Natcom c,68279.11809,,,Iraq,,,,61959.25242,1429645,Corporate,Private Sector,,INNOVATION UNIT,ECARO,Ukraine,,,ESARO,6/16/2024,MONTENEGRO CO,World Bank - Washington D.C.,IRQ,Iraq,Natcom c,Private,Other Resources Emergency,Health,R4,Including,MENA,2023,Private
Development Initiatives,Private,Initial Meetings,2/16/2024,Dollor,35758.04423,29259.15937,Revenue Type,Technical leadership for programme outcomes,Advocacy,HAC-ECARO,,EU ECHO,15240.78785,,,Ireland,,,,54344.78168,26672052,University/Education Org.,UNICEF NatCom/CO/Division,,CROATIA CO,ECARO,Belarus,,,MENARO,2/16/2024,ARMENIA CO,European Investment Bank,IRL,Ireland,EU ECHO,Private,Other Resources Emergency,Education,R4,Thriving,ECA,2022,Private
Humanitarian Funding,Private,Negotiating/Contracting,1/16/2024,Dollor,87604.40921,94231.34379,ORR Non-Thematic,Cross-sectoral planning and programme reviews,Advocacy,HAC-ECARO,,EU ECHO,67543.4337,,,Israel,,,,78549.02005,29759391,Governmental Organization,Private Sector,,US FUND,ROSA,Montenegro,,,HQ,1/16/2024,PPD,Bureau for Humanitarian Assistance,ISR,Israel,EU ECHO,Bilateral,Other Resources Emergency,SP,R5,Thriving,MENA,2022,Private
Innovation and Research Grants,Public,Initial Meetings,4/5/2024,Dollor,85767.70706,417.6973833,ORE-Thematic,Cross-Sectoral unearmarked,Advocacy,HAC-UKRAINE,,C,69952.43307,,,Italy,,,,80473.73877,8740245,Account Category,Private Sector,,CHINA CO,EAPRO,Moldova,,,HQ,4/5/2024,UKRAINE CO,Unilever,ITA,Italy,C,Bilateral,Other Resources Regular,ADAP,R1,Thriving,ECA,2024,Private
Advocacy and Policy Support,Public,Initial Meetings,4/20/2024,Dollor,43707.22952,93931.98193,ORR Non-Thematic,ACT-A/COVAX Pillar 1 - Diagnostics,Advocacy,HAC-STATE OF PALESTINE,,Natcom d,87695.82352,,,Jamaica,,,,37018.07338,9104572,Other,Public Sector,,CROATIA CO,HQ,United States,,,HQ,4/20/2024,BELARUS CO,World Bank - Washington D.C.,JAM,Jamaica,Natcom d,Private,Other Resources Regular,Child Protection,R1,Thriving,LACRO,2023,Private
Country Programmes,Public,Secured/Won,6/20/2024,Dollor,58460.62984,86001.38383,Revenue Type,Other – including procurement services,Child Protection,Ukraine Response,,Natcom d,27560.29947,,,Japan,,,,19580.37045,2428212,Sport Associations,UNICEF NatCom/CO/Division,,SERBIA CO,NatCom,Greece,,,ESARO,6/20/2024,UKRAINE CO,World Bank - Washington D.C.,JPN,Japan,Natcom d,Private,Other Resources Regular,ADAP,R2,Learning,EAPRO,2022,Private
Global Thematic Programs,Private,Negotiating/Contracting,6/19/2024,Dollor,47312.76032,12477.24973,Revenue Type,ACT-A/COVAX Pillar 4: RCCE,Health,HAC-UKRAINE,,Natcom A,65805.12453,,,Jordan,,,,87652.52147,12450847,Central Government,Public Sector,,TURKIYE NATCOM,MENARO,Croatia,,,NatCom,6/19/2024,ARMENIA CO,World Bank - Washington D.C.,JOR,Jordan,Natcom A,Private,Other Resources Regular,WASH,R2,Protecting,MENA,2023,Private
Partnership Funding,Private,Negotiating/Contracting,5/28/2024,Dollor,43005.36471,77129.95281,ORE-Thematic,Cross-sectoral planning and programme reviews,Advocacy,HAC-STATE OF PALESTINE,,G,7515.644335,,,Kazakhstan,,,,7947.203213,15429883,University/Education Org.,Private Sector,,NETHERLANDS NATCOM,WCARO,Ukraine,,,NatCom,5/28/2024,KYRGYZSTAN CO,Unilever,KAZ,Kazakhstan,G,Bilateral,Other Resources Emergency,ADAP,R4,Connecting,ECA,2023,Private
Advocacy and Policy Support,Public,Secured/Won,9/13/2024,Dollor,33304.50974,50811.68658,ORE-Thematic,Polio eradication,Emergency Response,HAC-ARMENIA,,Natcom d,62826.11725,,,Kenya,,,,84408.42118,6385411,University/Education Org.,Public Sector,,US FUND,HQ,Armenia,,,ECARO,9/13/2024,ARMENIA CO,African Development Bank (AfDB),KEN,Kenya,Natcom d,EU,Other Resources Emergency,ADAP,R4,Including,SSA,2023,Private
Emergency Response,Public,Negotiating/Contracting,8/11/2024,Dollor,48630.89043,49200.40751,ORE-Thematic,Child health,Emergency Response,Ukraine Response,,EU ECHO,1593.437016,,,Kiribati,,,,53620.80411,32268550,UN Agency/International Agency,UNICEF NatCom/CO/Division,,UKRAINE CO,ECARO,Serbia,,,HQ,8/11/2024,TURKIYE CO,European Investment Bank,KIR,Kiribati,EU ECHO,EU,Other Resources Emergency,SP,R3,Connecting,EAPRO,2023,Private
Partnership Funding,Private,Negotiating/Contracting,4/15/2024,Dollor,79176.6557,61266.10893,ORR Non-Thematic,"Protect, care and support children and families affected by HIV",Education,HAC-UKRAINE,,Natcom d,27757.78736,,,Kuwait,,,,33434.03861,16108002,Country Office,Public Sector,,KOSOVO CO,WCARO,Greece,,,MENARO,4/15/2024,ROMANIA CO,Bureau for Humanitarian Assistance,KWT,Kuwait,Natcom d,Bilateral,Other Resources Regular,WASH,R2,Protecting,MENA,2022,Private
Emergency Response,Public,Negotiating/Contracting,10/22/2024,Dollor,42482.95523,67023.04957,ORR Non-Thematic,WASH in Schools and ECD centres,Education,Ukraine Response,,G,74109.88749,,,Kyrgyzstan,,,,60465.98369,15577302,Governmental Organization,Private Sector,,NETHERLANDS NATCOM,MENARO,Albania,,,ESARO,10/22/2024,MONTENEGRO CO,Unilever,KGZ,Kyrgyzstan,G,Bilateral,Other Resources Regular,Child Protection,R1,Learning,ECA,2023,Private
Country Programmes,Public,Secured/Won,3/27/2024,Dollor,23561.72972,99438.15054,ORE-Thematic,Leadership and Executive Direction,Advocacy,Ukraine Response,,C,24604.64954,,,Lao People's Democratic Republic,,,,45117.19488,34969847,Non-Profit/NGO Foundations,Public Sector,,UZBEKISTAN CO,EAPRO,Albania,,,NatCom,3/27/2024,GEORGIA CO,African Development Bank (AfDB),LAO,Lao People's Democratic Republic,C,EU,Other Resources Emergency,SP,R2,Protecting,EAPRO,2023,Private
Humanitarian Funding,Private,Negotiating/Contracting,1/31/2024,Dollor,29934.55919,96811.9025,ORE-Thematic,Human resources management,Health,Emergency/HAC,,G,85081.63708,,,Latvia,,,,85485.54178,27919585,Corporate,Private Sector,,ARMENIA CO,ECARO,Cyprus,,,NatCom,1/31/2024,ALBANIA CO,The United Kingdom,LVA,Latvia,G,Private,Other Resources Regular,WASH,R2,Learning,ECA,2024,Private
Advocacy and Policy Support,Public,Secured/Won,5/5/2024,Dollor,8173.205288,27051.90837,ORR Non-Thematic,Human resources management,Advocacy,HAC-UKRAINE,,Natcom A,97775.78687,,,Lebanon,,,,63178.17493,20130334,Corporate Foundation,Private Sector,,US FUND,WCARO,Ukraine,,,HQ,5/5/2024,ARMENIA CO,World Bank - Washington D.C.,LBN,Lebanon,Natcom A,Private,Other Resources Regular,CP,R2,Protecting,MENA,2024,Private
Humanitarian Funding,Private,Secured/Won,3/26/2024,Dollor,20084.16546,59746.74115,ORR Non-Thematic,Gender Equality General,Increased Immunization Rates,Emergency/HAC,,ECHO,52555.97546,,,Lesotho,,,,54421.7149,15004680,Sport Associations,Public Sector,,NETHERLANDS NATCOM,ROSA,Moldova,,,ECARO,3/26/2024,KOSOVO CO,Unilever,LSO,Lesotho,ECHO,Bilateral,Other Resources Emergency,WASH,R3,Including,SSA,2024,Private
Emergency Response,Public,Initial Meetings,11/9/2024,Dollor,82376.06733,68656.43999,Revenue Type,Human resources management,Emergency Response,HAC-ARMENIA,,Natcom A,55552.99537,,,Liberia,,,,79259.56028,22760916,Multi-Stakeholder Partnership,Private Sector,,FRANCE NATCOM,HQ,Greece,,,NatCom,11/9/2024,SOMALIA CO,Bureau for Humanitarian Assistance,LBR,Liberia,Natcom A,Bilateral,Other Resources Emergency,SP,R3,Connecting,SSA,2022,Private
Advocacy and Policy Support,Public,Secured/Won,6/28/2024,Dollor,51342.29312,7238.757309,ORE-Thematic,WASH – General,Education,HAC-UKRAINE,,Natcom A,19554.44943,,,Libya,,,,75488.19723,8847519,Governmental Organization,Public Sector,,SENEGAL CO,ROSA,Greece,,,ESARO,6/28/2024,KOSOVO CO,African Development Bank (AfDB),LBY,Libya,Natcom A,EU,Other Resources Regular,ADAP,R2,Learning,MENA,2023,Private
Advocacy and Policy Support,Public,Negotiating/Contracting,5/12/2024,Dollor,83519.61023,47950.98878,ORE-Thematic,Transparency in information and official documents,Education,HAC-ARMENIA,,Natcom A,35236.27537,,,Liechtenstein,,,,67734.77181,36368501,Multi-Stakeholder Partnership,Public Sector,,DENMARK NATCOM,ECARO,Netherlands,,,MENARO,5/12/2024,TURKIYE NATCOM,World Bank - Washington D.C.,LIE,Liechtenstein,Natcom A,Private,Other Resources Emergency,WASH,R1,Connecting,ECA,2022,Private
Advocacy and Policy Support,Public,Initial Meetings,1/9/2024,Dollor,57360.80631,91131.48591,Revenue Type,United Nations Coherence and cluster coordination,Emergency Response,Emergency/HAC,,Natcom d,29381.91151,,,Lithuania,,,,21168.04897,8456708,Other,Private Sector,,INNOVATION UNIT,EAPRO,Russian Federation,,,MENARO,1/9/2024,US FUND,World Bank - Washington D.C.,LTU,Lithuania,Natcom d,Private,Other Resources Emergency,Education,R2,Including,ECA,2022,Private
